diff_x		diff_y		diff_z		diff_roll	diff_pitch	diff_yaw
149	    173.3260	     76.7955	    120.4611	     -0.0353	      0.0010	     -0.0033	     -0.0001	      0.0109	     -0.0018
1410	    173.3260	     60.7900	    140.5069	     -0.0393	      0.0008	     -0.0076	      0.0002	      0.0136	     -0.0017
1411	    173.3260	     29.9910	    203.3170	     -0.1516	      0.0013	      0.1464	     -0.0113	     -0.1384	      0.0009
1412	    173.3260	     22.3456	    195.6716	      0.2855	      0.0042	     -0.2123	      0.0153	      0.2660	     -0.0077
1413	    173.3260	     43.3859	    216.7119	      0.0411	      0.0041	      0.0494	     -0.0046	     -0.0153	     -0.0023
1414	    173.3260	     54.2634	    227.5895	      0.0365	      0.0020	     -0.0415	      0.0026	      0.0595	     -0.0030
156	     47.5504	     20.2322	     41.7387	     -0.0478	      0.0020	     -0.0780	      0.0029	     -0.0205	     -0.0039
157	     47.5504	     52.2123	     42.2049	     -0.0166	      0.0004	     -0.4995	      0.0063	      0.0426	     -0.0311
158	     47.5504	     81.6749	     90.0661	     -0.0315	      0.0053	     -0.0195	      0.0009	     -0.0860	     -0.0009
159	     47.5504	    122.9474	    120.4611	     -0.0534	      0.0024	     -0.0461	      0.0024	     -0.0298	     -0.0019
1510	     47.5504	    138.9530	    140.5069	     -0.0664	      0.0012	     -0.0427	      0.0029	     -0.0081	     -0.0014
1511	     47.5504	    189.1451	    203.3170	     -0.1411	     -0.0046	      0.0240	      0.0049	      0.0909	      0.0046
1512	     47.5504	    217.7375	    195.6716	     -0.1333	     -0.0037	      0.0262	      0.0045	      0.0747	      0.0045
1513	     47.5504	    203.1616	    216.7119	     -0.1746	     -0.0074	      0.0453	      0.0060	      0.1417	      0.0067
1514	     47.5504	    206.8289	    227.5895	     -0.1364	     -0.0014	      0.1210	      0.0027	      0.0230	      0.0102
167	     41.7387	     35.6473	     42.2049	-3185721711253319900000000000000000000000000000000.0000	7782895.1004	85088074219771072000000000000000000000000000000.0000	1450512.0226	1258981158799756900000000000000000000000000000.0000	-35147571.5504
168	     41.7387	     65.1099	     90.0661	      0.0644	      0.0138	     -0.0124	      0.0019	     -0.2004	      0.0014
169	     41.7387	    106.3825	    120.4611	     -0.0455	      0.0028	     -0.0493	      0.0028	     -0.0320	     -0.0018
1610	     41.7387	    122.3880	    140.5069	     -0.0636	      0.0012	     -0.0424	      0.0030	     -0.0071	     -0.0013
1611	     41.7387	    172.5801	    203.3170	     -0.1315	     -0.0038	      0.0317	      0.0035	      0.0748	      0.0040
1612	     41.7387	    201.1726	    195.6716	     -0.1225	     -0.0029	      0.0363	      0.0035	      0.0598	      0.0043
1613	     41.7387	    186.5966	    216.7119	     -0.1532	     -0.0055	      0.0553	      0.0037	      0.1016	      0.0056
1614	     41.7387	    190.2639	    227.5895	     -0.1175	     -0.0013	      0.0968	      0.0034	      0.0361	      0.0089
178	     42.2049	     47.8612	     90.0661	      0.0164	      0.0065	      0.0157	      0.0001	     -0.0710	      0.0005
